trial_index,target_freq_hz,first_trigger_time_s,epoch_start_s_after_trigger,epoch_stop_s_after_trigger,posterior_exact_target_amp_uv,posterior_exact_nontarget_amp_uv,posterior_exact_target_snr_db,posterior_exact_nontarget_snr_db,posterior_exact_selectivity_db
1,14.0,42.859375,2.0,28.0,0.4359022552155555,0.17782843504534146,10.558042800696608,-0.06917766252788558,10.627220463224493
2,9.0,76.02587890625,2.0,28.0,0.44626158996814835,0.12481271186236602,5.000792114400092,1.5979195253071252,3.4028725890929667
4,14.0,142.67626953125,2.0,28.0,0.32118688439366644,0.23243701378424522,8.399036455864627,3.7599754219745996,4.639061033890027
5,9.0,175.7763671875,2.0,28.0,0.5312933414600589,0.10144431197843472,6.780337657664104,0.20799244432669442,6.572345213337409
6,14.0,208.87646484375,2.0,28.0,0.39808981082550415,0.2060580607297277,9.238493067984228,0.1544518011134687,9.08404126687076
7,9.0,241.94287109375,2.0,28.0,0.44142271556928975,0.06921144855439755,7.780768972552776,-3.5995155716569074,11.380284544209683
8,9.0,275.09326171875,2.0,28.0,0.39543172041986635,0.08484163725979336,4.676764981495997,-1.8252191008875889,6.5019840823835855
9,14.0,308.326171875,2.0,28.0,0.1181348773684662,0.09700291843947559,0.15803236508044677,-8.720259928274299,8.878292293354745
10,14.0,341.67626953125,2.0,28.0,0.2560863763433027,0.17038664134925768,5.86032361166757,-1.6800568723172251,7.540380483984795
11,14.0,425.2431640625,2.0,28.0,0.2845428642497917,0.11493246060649064,7.08126511414308,-2.1631214469354707,9.244386561078551
12,9.0,458.35986328125,2.0,28.0,0.49749287757558175,0.11588223874193661,8.57669734836905,0.08109907454279738,8.495598273826253
13,14.0,491.40966796875,2.0,28.0,0.20253302349407504,0.1402080340787418,3.516567262977568,-2.4180544183608523,5.93462168133842
14,14.0,524.7099609375,2.0,28.0,0.12947261051036446,0.13503449639740336,0.0658270657547104,-3.6250486730497067,3.690875738804417
15,9.0,557.85986328125,2.0,28.0,0.23418600397781944,0.12592385281947102,2.6055299387626136,1.5714266209101062,1.0341033178525074
16,9.0,590.9765625,2.0,28.0,0.20279307420297368,0.09627585931481254,0.18432235999539395,-1.762602959213229,1.946925319208623
17,9.0,624.07666015625,2.0,28.0,0.4596269292592558,0.16884930980836324,8.063688080691719,3.4682615394948826,4.5954265411968365
18,9.0,657.4931640625,2.0,28.0,0.3751962915117835,0.13858213486678023,3.6897251221872733,1.5906062691159695,2.099118853071304
19,14.0,690.759765625,2.0,28.0,0.17763810271129704,0.19524684270422604,4.019362605175719,0.22485773678082926,3.79450486839489
20,14.0,723.82666015625,2.0,28.0,0.21856565245774648,0.12533528194175003,5.84991050411596,-4.526160984079344,10.376071488195304
21,9.0,776.34326171875,2.0,28.0,0.4533634569687993,0.10596206551120381,6.562270261430207,-1.044202550831375,7.606472812261583
22,9.0,809.4599609375,2.0,28.0,0.3786235244704016,0.07459762413609773,4.34300189925589,-2.759478322468081,7.102480221723971
23,14.0,842.54345703125,2.0,28.0,0.14795769875701298,0.12622995146755334,0.680913904615981,-5.371907710611751,6.052821615227732
24,14.0,875.693359375,2.0,28.0,0.1487301869974667,0.40292890193955466,0.46014111551050885,3.6763072406339363,-3.2161661251234275
25,14.0,908.74365234375,2.0,28.0,0.17947652481948598,0.1994572074178589,3.134301690154268,-0.5928051894870165,3.7271068796412847
26,9.0,941.84375,2.0,28.0,0.46523310197884965,0.13762763090536814,5.744662754486058,2.2101848845754954,3.534477869910562
27,9.0,974.9267578125,2.0,28.0,0.13731408956767616,0.08654640080922184,-4.13403282151124,-0.9923893692350235,-3.141643452276216
28,9.0,1008.29345703125,2.0,28.0,0.24508870428675414,0.0707216868339525,0.4861884542992484,-4.721405991969609,5.207594446268858
29,14.0,1041.47705078125,2.0,28.0,0.09538343434240648,0.287223832779258,-1.8886139245574658,4.14219081271979,-6.030804737277256
30,14.0,1074.59375,2.0,28.0,0.18316198822943738,0.2703891161951543,3.479912669676628,0.771082571947644,2.708830097728984
31,14.0,1248.0771484375,2.0,28.0,0.1377254857512658,0.2487663207418133,0.8109469720795316,2.1044448116764314,-1.2934978395969
32,14.0,1281.19384765625,2.0,28.0,0.19874196253079116,0.25602103895303185,6.1606045729714225,2.8208765929491797,3.339727980022243
33,9.0,1314.2939453125,2.0,28.0,0.6962172623776727,0.07275436341007002,11.161514672548822,-2.5618934552964943,13.723408127845317
34,9.0,1347.37744140625,2.0,28.0,0.488784799673399,0.1469378643307902,9.465785987914728,2.5710393114727625,6.894746676441965
35,14.0,1380.59375,2.0,28.0,0.1838841471649678,0.3813007195130953,3.0255981953532163,4.9637692805945814,-1.9381710852413652
36,9.0,1413.89404296875,2.0,28.0,0.4468030260635504,0.11532555576338087,7.328302342744997,2.004840042638485,5.323462300106511
37,14.0,1447.0439453125,2.0,28.0,0.27028158892762766,0.21691942483577825,6.6731722803104345,-0.30201884460716416,6.975191124917599
38,9.0,1480.310546875,2.0,28.0,0.5637015191297825,0.10337257255609648,8.064721222240886,-1.7673403507500265,9.832061572990913
39,9.0,1513.37744140625,2.0,28.0,0.491117929092698,0.09644818578503071,5.745955614940092,-2.8124573473260672,8.558412962266159
40,14.0,1546.64404296875,2.0,28.0,0.26126886798078924,0.16247625518656036,6.9407134384513665,-1.812436660291479,8.753150098742845
