channel,is_posterior,snr9_when_target9_db,snr9_when_target14_db,snr9_condition_contrast_db,snr14_when_target14_db,snr14_when_target9_db,snr14_condition_contrast_db,amp9_when_target9_uv,amp9_when_target14_uv,amp9_condition_contrast_uv,amp14_when_target14_uv,amp14_when_target9_uv,amp14_condition_contrast_uv,best_abs_condition_contrast_db
Oz,True,11.821453993236744,-3.4814328092327598,15.302886802469505,9.500771026678136,1.5272045030910955,7.97356652358704,0.7969775472500297,0.1768067471855787,0.620170800064451,0.4212049221796995,0.13885911093181472,0.2823458112478848,15.302886802469505
O1,True,10.947961614263745,-2.582949273888839,13.530910888152583,9.426359343407828,0.22864006835250245,9.197719275055325,0.7602916262024674,0.20284272438746673,0.5574489018150006,0.4073614271145679,0.12932828705566682,0.2780331400589011,13.530910888152583
PO3,True,6.518485242538552,0.12903578002175062,6.389449462516802,7.021218243575012,-2.0216861281248595,9.042904371699871,0.4472886722233686,0.20470328612860075,0.24258538609476785,0.24934148062734388,0.08826833730587233,0.16107314332147155,9.042904371699871
O2,True,7.653785677626062,-0.5633865856444078,8.21717226327047,7.816650664394939,0.22460988288959846,7.59204078150534,0.5660352360118952,0.26315577402082696,0.30287946199106824,0.359156594347149,0.13348940943316684,0.2256671849139822,8.21717226327047
PO7,True,6.155529036165572,-0.16782201185988646,6.323351048025459,6.725171152381395,-1.308538532317395,8.03370968469879,0.4491667136843546,0.20174978714078762,0.247416926543567,0.251524863753197,0.09536867339244731,0.15615619036074968,8.03370968469879
POz,True,7.503727530724689,0.3211252364393241,7.182602294285364,6.502837266734349,-1.4667382778840097,7.969575544618358,0.4205890671367104,0.2039871595789447,0.2166019075577657,0.21813351078351007,0.08731679533770387,0.1308167154458062,7.969575544618358
PO4,True,5.888477487076156,1.317740960929075,4.570736526147082,4.891886378745626,-0.7544595689857495,5.646345947731376,0.3936600007368362,0.2339046558275546,0.15975534490928162,0.19852392660168866,0.09481697167918095,0.10370695492250771,5.646345947731376
PO8,True,4.8435664304951604,-0.14821561565018193,4.991782046145342,2.9858634089867184,-0.4143094027197294,3.400172811706448,0.40357585697178644,0.24189336654284807,0.16168249042893837,0.20061482509413886,0.11328923061909361,0.08732559447504525,4.991782046145342
P5,True,3.216624476288171,-1.0378429146584875,4.254467390946658,0.45043326480184864,-1.7788524415059208,2.2292857063077696,0.3294914105052514,0.21109954035346995,0.11839187015178143,0.12666674303897033,0.11290870307816003,0.013758039960810292,4.254467390946658
P3,True,2.1324099938860273,-1.8939903568817027,4.02640035076773,0.007208455163875449,-1.0373182495307087,1.044526704694584,0.22091504485241198,0.14680191720301622,0.07411312764939576,0.1000912449796691,0.08411043414169728,0.01598081083797183,4.02640035076773
P7,True,3.5747843783978577,-0.22591986548122409,3.800704243879082,0.8254868262034634,-1.2845146220142636,2.110001448217727,0.37304114652197606,0.2358825262663365,0.13715862025563957,0.14253282738507556,0.11229156103154156,0.030241266353533997,3.800704243879082
Pz,True,1.1300895267997604,-0.38292315711048613,1.5130126839102465,1.903528590126323,1.2304464835660667,0.6730821065602564,0.2067311946404596,0.1842791342072846,0.02245206043317502,0.14072124426299495,0.11501514287020563,0.025706101392789324,1.5130126839102465
P8,True,2.5282744527743213,1.1563497646280385,1.3719246881462828,-0.22689149410681467,-0.15157236938870283,-0.07531912471811184,0.270617222153245,0.20341723473318774,0.06719998742005728,0.11703971850515793,0.09592974786345232,0.02110997064170561,1.3719246881462828
P4,True,1.3363016072304432,1.4960663642835763,-0.1597647570531331,1.1266631105257825,0.7121468492299109,0.4145162612958716,0.21947859825452629,0.19180421429851935,0.027674383956006937,0.11122171147655165,0.09930466754767818,0.011917043928873466,0.4145162612958716
